run_id,optimizer_model,learner_model,iter,passed,failed,errors,bad,best_bad,t_gen_s,t_pytest_s,t_parse_s,t_prompt_s,t_llm_s,t_total_s,merged_rules_chars,failed_tests
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,9,2,0,2,2,133.401327,11.145668,0.000834,2.8e-05,8.120753,152.675642,1714,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,6,7,4,0,4,2,128.656715,9.552856,0.000896,2.8e-05,10.528908,148.742479,1827,tests/test_00_static_contract.py::test_allowed_imports_only;tests/test_01_occmap2d_safety.py::test_occmap2d_is_safe;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,7,8,3,0,3,2,137.634777,4.136063,0.000849,4.5e-05,7.400794,149.176898,1638,tests/test_00_static_contract.py::test_allowed_imports_only;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,121.236592,12.326784,0.000874,3.5e-05,9.489895,143.057544,1443,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,2,128.950919,8.021265,0.000889,2.3e-05,10.806819,147.78391,1351,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,9,2,0,2,2,123.418454,7.923463,0.000865,2.1e-05,11.215198,142.562078,1639,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,2,158.385121,8.076552,0.000771,2.8e-05,9.152029,175.619104,1606,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,9,2,0,2,2,153.796723,9.515511,0.000733,2.4e-05,13.759968,177.077645,1866,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,6,9,2,0,2,2,173.665559,5.734068,0.000808,2.6e-05,11.137794,190.541674,1827,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,7,9,2,0,2,2,146.701102,15.609741,0.000882,2.6e-05,10.123453,172.437972,1795,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
